id,website,language,pattern,title,body
1,http://wet-boew.github.io/wet-boew-legacy/v3.1/index-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
2,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/theme-wet-boew/cont-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
3,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/grids/grid-base-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
4,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/arb-rra/arb-rra-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
5,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/charts/complex-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
6,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/lightbox/lightbox-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
7,http://wet-boew.github.io/wet-boew-legacy/v3.1/docs/ref/promo-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
8,http://wet-boew.github.io/wet-boew-legacy/v3.1/docs/index-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
9,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/index-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
10,http://wet-boew.github.io/wet-boew-legacy/v3.1/docs/versions/version-info-en.html,en,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
1_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/index-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
2_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/theme-wet-boew/cont-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
4_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/arb-rra/arb-rra-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
5_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/charts/complex-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
6_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/lightbox/lightbox-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
7_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/docs/ref/promo-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
8_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/docs/index-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
9_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/demos/index-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
10_fr,http://wet-boew.github.io/wet-boew-legacy/v3.1/docs/versions/version-info-fr.html,fr,wxt3,css::#wb-cont,css::#wb-main-in|h1|#wet-date-mod
